id,name,team,position,minutes,goals_scored,assists,goals_conceded,clean_sheets,saves,penalties_saved,penalties_missed,yellow_cards,red_cards,own_goals,starts,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,total_points,season
3,Granit Xhaka,Arsenal,MID,2992,7,8,35,13,0,0,0.0,4,0,0.0,36.0,15,634.0,4.65,3.89,8.54,36.52,647.0,673.3,498.0,182.0,153.0,2022-23
4,Mohamed Elneny,Arsenal,MID,111,0,0,2,0,0,0,0.0,0,0,0.0,1.0,0,27.0,0.0,0.04,0.04,1.29,4.6,5.4,0.0,1.1,6.0,2022-23
5,Rob Holding,Arsenal,DEF,562,1,0,13,0,0,0,0.0,0,0,0.0,6.0,0,120.0,0.32,0.15,0.47,11.14,152.0,10.3,54.0,21.6,21.0,2022-23
6,Thomas Partey,Arsenal,MID,2480,3,0,28,11,0,0,0.0,5,0,0.0,28.0,6,468.0,2.59,2.17,4.76,32.27,513.2,439.6,240.0,119.5,86.0,2022-23
7,Martin Ødegaard,Arsenal,MID,3132,15,8,38,13,0,0,0.0,4,0,0.0,37.0,30,813.0,9.75,8.02,17.77,37.94,960.0,1100.4,920.0,298.3,212.0,2022-23
8,Kieran Tierney,Arsenal,DEF,774,0,1,10,1,0,0,0.0,0,0,0.0,6.0,0,164.0,0.38,0.43,0.81,10.9,144.0,85.5,67.0,29.9,37.0,2022-23
9,Nicolas Pépé,Arsenal,MID,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-23
10,Benjamin White,Arsenal,DEF,3054,2,5,35,15,0,0,0.0,5,0,0.0,36.0,12,734.0,1.25,3.6,4.85,37.23,649.0,491.2,159.0,130.0,156.0,2022-23
11,Eddie Nketiah,Arsenal,FWD,1071,4,2,16,2,0,0,0.0,3,0,0.0,9.0,5,161.0,7.89,1.26,9.15,14.65,213.4,128.2,598.0,93.1,63.0,2022-23
12,Emile Smith Rowe,Arsenal,MID,161,0,2,5,0,0,0,0.0,0,0,0.0,0.0,0,60.0,0.25,0.55,0.8,2.71,36.6,64.3,39.0,13.8,18.0,2022-23
13,Bukayo Saka,Arsenal,MID,3183,14,12,42,12,0,0,1.0,6,0,0.0,37.0,19,678.0,11.49,5.97,17.46,39.66,972.2,1091.8,1164.0,322.8,202.0,2022-23
14,Takehiro Tomiyasu,Arsenal,DEF,651,0,1,11,2,0,0,0.0,2,0,0.0,6.0,0,173.0,0.24,0.23,0.47,8.93,137.0,86.6,55.0,27.7,32.0,2022-23
15,Aaron Ramsdale,Arsenal,GKP,3420,0,0,43,14,94,0,0.0,1,0,0.0,38.0,9,664.0,0.0,0.02,0.02,42.31,761.4,0.0,0.0,76.2,143.0,2022-23
16,Gabriel dos Santos Magalhães,Arsenal,DEF,3409,3,0,43,14,0,0,0.0,5,0,0.0,38.0,15,723.0,5.04,0.66,5.7,41.84,733.8,129.7,401.0,126.5,146.0,2022-23
