gameweek,player_id,name,team,position,predicted_points,actual_points
35,356,Callum Wilson,Newcastle United,FWD,5.13,2
24,465,Jarrod Bowen,West Ham United,MID,4.66,2
3,357,Kieran Trippier,Newcastle United,DEF,4.32,6
21,7,Martin Ødegaard,Arsenal,MID,5.37,5
15,369,Miguel Almirón Rejala,Newcastle United,MID,4.33,8
33,40,Ollie Watkins,Aston Villa,FWD,4.63,2
26,31,Emiliano Martínez Romero,Aston Villa,GK,5.37,7
4,225,Rodrigo Moreno,Leeds United,FWD,5.28,2
9,318,Erling Haaland,Manchester City,FWD,5.64,23
30,13,Bukayo Saka,Arsenal,MID,4.25,1
