season,gameweek,player_id,name,team,position,points,predicted_points,error,abs_error
2022/23,4,279,Roberto Firmino,Liverpool,FWD,22,2.08715827787262,-19.91284172212738,19.91284172212738
2022/23,14,23,Reiss Nelson,Arsenal,MID,19,0.15061062908072623,-18.849389370919273,18.849389370919273
2022/23,35,534,Dwight McNeil,Everton,MID,21,3.466310154837699,-17.5336898451623,17.5336898451623
2022/23,9,318,Erling Haaland,Manchester City,FWD,23,5.644845691832549,-17.35515430816745,17.35515430816745
2022/23,26,283,Mohamed Salah,Liverpool,MID,21,3.858262474435567,-17.141737525564434,17.141737525564434
2022/23,2,28,Gabriel Fernando de Jesus,Arsenal,FWD,19,1.8882558060789871,-17.111744193921012,17.111744193921012
2022/23,8,428,Son Heung-min,Tottenham Hotspur,MID,19,2.6720168585166983,-16.3279831414833,16.3279831414833
2022/23,9,111,Leandro Trossard,Brighton & Hove Albion,MID,20,3.866785417568117,-16.133214582431883,16.133214582431883
2022/23,36,300,Ilkay Gündogan,Manchester City,MID,19,3.3032035007641523,-15.696796499235848,15.696796499235848
2022/23,14,356,Callum Wilson,Newcastle United,FWD,19,3.399723076229112,-15.600276923770888,15.600276923770888
2022/23,9,314,Phil Foden,Manchester City,MID,19,3.4622593278426312,-15.53774067215737,15.53774067215737
2022/23,4,285,Trent Alexander-Arnold,Liverpool,DEF,17,1.5171087759071014,-15.4828912240929,15.4828912240929
2022/23,20,107,Solly March,Brighton & Hove Albion,MID,19,3.7192830983187033,-15.280716901681297,15.280716901681297
2022/23,10,306,João Cancelo,Manchester City,DEF,18,2.945249584277963,-15.054750415722037,15.054750415722037
2022/23,36,586,Pervis Estupiñán,Brighton & Hove Albion,DEF,17,1.9743778334083602,-15.02562216659164,15.02562216659164
