gameweek,player_id,name,team,position,predicted_points,actual_points
37,534,Dwight McNeil,Everton,MID,6.341,2
19,7,Martin Ødegaard,Arsenal,MID,6.116,2
1,251,Marc Albrighton,Leicester City,MID,6.071,0
11,318,Erling Haaland,Manchester City,FWD,5.967,2
9,318,Erling Haaland,Manchester City,FWD,5.645,23
38,534,Dwight McNeil,Everton,MID,5.644,3
6,279,Roberto Firmino,Liverpool,FWD,5.643,1
9,279,Roberto Firmino,Liverpool,FWD,5.631,12
27,283,Mohamed Salah,Liverpool,MID,5.431,0
8,318,Erling Haaland,Manchester City,FWD,5.395,6
